Timestamp,What is your age?,What is your gender?,What is your monthly salary?,Whit is your civil status?,What is your working experience?,What is your company's working arrangement?,Choose one response [My job made me feel angry.],Choose one response [My job made me feel anxious.],Choose one response [My job made me feel at ease.],Choose one response [My job made me feel bored.],Choose one response [My job made me feel calm.],Choose one response [My job made me feel content.],Choose one response [My job made me feel depressed.],Choose one response [My job made me feel discouraged.],Choose one response [My job made me feel disgusted.],Choose one response [My job made me feel ecstatic.],Choose one response [My job made me feel energetic.],Choose one response [My job made me feel enthusiastic.],Choose one response [My job made me feel excited.],Choose one response [My job made me feel fatigued.],Choose one response [My job made me feel frightened.],Choose one response [My job made me feel furious.],Choose one response [My job made me feel gloomy.],Choose one response [My job made me feel inspired.],Choose one response [My job made me feel relaxed.],Choose one response [My job made me feel satisfied.]
2022/07/12 5:03:48 AM GMT+5:30,26 - 30 years,Male,"Rs 200,001 - Rs 500,000",Single,2- 5 years,Online,Rarely,Rarely,Extremely often,Rarely,Extremely often,Quite often,Rarely,Never,Never,Quite often,Quite often,Quite often,Quite often,Never,Never,Never,Never,Quite often,Extremely often,Extremely often
2022/07/12 7:31:12 PM GMT+5:30,20 - 25 years,Female,"< Rs.100,000",Single,< 2 years,Online,Rarely,Sometimes,Quite often,Rarely,Quite often,Quite often,Sometimes,Rarely,Never,Quite often,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Rarely,Quite often,Quite often,Rarely,Quite often
2022/07/12 9:20:51 PM GMT+5:30,20 - 25 years,Female,"Rs 200,001 - Rs 500,000",Single,2- 5 years,Online,Sometimes,Rarely,Sometimes,Quite often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Quite often,Rarely,Quite often,Quite often,Quite often
2022/07/12 9:24:55 PM GMT+5:30,20 - 25 years,Male,"< Rs.100,000",Single,< 2 years,Physical,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Quite often,Quite often,Quite often,Quite often,Quite often,Quite often,Sometimes,Quite often,Sometimes,Sometimes
2022/07/12 9:25:49 PM GMT+5:30,26 - 30 years,Male,"Rs 100,000 - Rs 200,000",Single,2- 5 years,Hybrid,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
2022/07/12 9:27:21 PM GMT+5:30,20 - 25 years,Male,"< Rs.100,000",Married,< 2 years,Physical,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Quite often,Rarely,Rarely,Sometimes,Quite often,Quite often,Quite often,Rarely,Rarely,Rarely,Quite often,Quite often,Sometimes,Quite often
2022/07/12 9:37:40 PM GMT+5:30,20 - 25 years,Male,"< Rs.100,000",Single,< 2 years,Hybrid,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Never
2022/07/12 9:42:34 PM GMT+5:30,26 - 30 years,Female,"< Rs.100,000",Single,< 2 years,Online,Rarely,Rarely,Rarely,Never,Quite often,Quite often,Never,Never,Never,Quite often,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Quite often,Quite often,Quite often,Quite often
2022/07/12 9:43:03 PM GMT+5:30,20 - 25 years,Female,"< Rs.100,000",Single,< 2 years,Online,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
2022/07/12 9:47:19 PM GMT+5:30,26 - 30 years,Female,"< Rs.100,000",Single,< 2 years,Hybrid,Rarely,Sometimes,Quite often,Never,Rarely,Quite often,Extremely often,Quite often,Sometimes,Rarely,Never,Extremely often,Quite often,Sometimes,Never,Sometimes,Sometimes,Quite often,Sometimes,Quite often
2022/07/12 9:49:52 PM GMT+5:30,26 - 30 years,Male,"Rs 100,000 - Rs 200,000",Single,< 2 years,Physical,Never,Rarely,Sometimes,Never,Quite often,Quite often,Sometimes,Never,Never,Sometimes,Quite often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Quite often
2022/07/12 9:55:20 PM GMT+5:30,20 - 25 years,Male,"Rs 100,000 - Rs 200,000",Single,< 2 years,Physical,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes
2022/07/12 9:58:33 PM GMT+5:30,26 - 30 years,Male,"< Rs.100,000",Single,< 2 years,Hybrid,Sometimes,Sometimes,Quite often,Quite often,Rarely,Quite often,Extremely often,Sometimes,Quite often,Rarely,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Quite often,Sometimes,Quite often,Quite often,Sometimes
2022/07/12 10:06:54 PM GMT+5:30,20 - 25 years,Female,"< Rs.100,000",Single,< 2 years,Online,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Rarely,Sometimes
2022/07/12 10:07:47 PM GMT+5:30,26 - 30 years,Female,"Rs 200,001 - Rs 500,000",Single,2- 5 years,Hybrid,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely
2022/07/12 10:23:01 PM GMT+5:30,26 - 30 years,Female,"< Rs.100,000",Single,< 2 years,Physical,Sometimes,Rarely,Quite often,Never,Never,Quite often,Sometimes,Rarely,Never,Sometimes,Quite often,Quite often,Rarely,Sometimes,Rarely,Quite often,Quite often,Quite often,Never,Sometimes
2022/07/12 10:32:01 PM GMT+5:30,26 - 30 years,Male,"< Rs.100,000",Single,< 2 years,Online,Never,Never,Quite often,Rarely,Extremely often,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Quite often,Quite often,Sometimes,Rarely,Quite often,Sometimes,Extremely often,Extremely often,Extremely often
2022/07/12 10:38:23 PM GMT+5:30,26 - 30 years,Female,"Rs 500,001 - Rs 1,000,000",Single,< 2 years,Online,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Rarely,Quite often,Quite often,Extremely often,Rarely,Never,Never,Sometimes,Rarely,Sometimes,Quite often
2022/07/12 10:41:07 PM GMT+5:30,26 - 30 years,Male,"Rs 100,000 - Rs 200,000",Single,2- 5 years,Hybrid,Never,Rarely,Sometimes,Rarely,Quite often,Rarely,Never,Never,Never,Rarely,Sometimes,Quite often,Quite often,Never,Sometimes,Sometimes,Rarely,Quite often,Quite often,Quite often
2022/07/12 10:45:04 PM GMT+5:30,26 - 30 years,Male,"Rs 100,000 - Rs 200,000",Single,< 2 years,Physical,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
2022/07/12 11:15:19 PM GMT+5:30,26 - 30 years,Female,"< Rs.100,000",Single,2- 5 years,Hybrid,Sometimes,Sometimes,Extremely often,Sometimes,Extremely often,Sometimes,Sometimes,Sometimes,Quite often,Extremely often,Quite often,Quite often,Sometimes,Extremely often,Sometimes,Sometimes,Extremely often,Never,Rarely,Never
2022/07/13 12:45:47 AM GMT+5:30,20 - 25 years,Female,"< Rs.100,000",Single,< 2 years,Online,Sometimes,Never,Extremely often,Quite often,Quite often,Quite often,Rarely,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes
2022/07/13 2:35:08 AM GMT+5:30,20 - 25 years,Male,"< Rs.100,000",Single,< 2 years,Hybrid,Quite often,Sometimes,Extremely often,Extremely often,Quite often,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Sometimes,Quite often,Sometimes
2022/07/13 3:58:41 AM GMT+5:30,20 - 25 years,Male,"Rs 500,001 - Rs 1,000,000",Single,< 2 years,Hybrid,Rarely,Rarely,Quite often,Sometimes,Sometimes,Sometimes,Never,Never,Never,Quite often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Rarely,Quite often,Quite often,Quite often
2022/07/13 7:49:59 AM GMT+5:30,26 - 30 years,Male,"Rs 200,001 - Rs 500,000",Single,2- 5 years,Hybrid,Rarely,Rarely,Quite often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Quite often,Quite often,Quite often,Quite often,Rarely,Never,Never,Never,Extremely often,Quite often,Extremely often
2022/07/13 7:54:19 AM GMT+5:30,26 - 30 years,Female,"Rs 100,000 - Rs 200,000",Married,2- 5 years,Online,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Sometimes
2022/07/13 7:56:14 AM GMT+5:30,26 - 30 years,Female,"Rs 100,000 - Rs 200,000",Married,2- 5 years,Hybrid,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
2022/07/13 7:59:39 AM GMT+5:30,26 - 30 years,Male,"Rs 200,001 - Rs 500,000",Married,2- 5 years,Online,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Quite often,Quite often,Quite often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Quite often,Quite often
2022/07/13 8:01:39 AM GMT+5:30,26 - 30 years,Male,"Rs 100,000 - Rs 200,000",Single,2- 5 years,Physical,Rarely,Rarely,Quite often,Rarely,Quite often,Quite often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Quite often,Quite often,Rarely,Never,Never,Rarely,Rarely,Quite often,Quite often
2022/07/13 8:02:23 AM GMT+5:30,26 - 30 years,Male,"< Rs.100,000",Married,< 2 years,Physical,Sometimes,Sometimes,Sometimes,Rarely,Never,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Quite often,Sometimes,Sometimes,Rarely,Sometimes
2022/07/13 9:06:01 AM GMT+5:30,26 - 30 years,Female,"Rs 200,001 - Rs 500,000",Single,5-10 years,Hybrid,Rarely,Sometimes,Sometimes,Quite often,Sometimes,Quite often,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Quite often,Sometimes
2022/07/13 8:28:29 AM GMT+5:30,26 - 30 years,Female,"Rs 100,000 - Rs 200,000",Single,2- 5 years,Online,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
2022/07/13 8:31:57 AM GMT+5:30,26 - 30 years,Female,"Rs 200,001 - Rs 500,000",Married,2- 5 years,Online,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes
